Charles Barkley,Philadelphia,,Xavier McDaniel,Seattle
Danny Ainge,Boston,,Clyde Drexler,Portland
Brad Daugherty,Cleveland,,James Worthy,Lakers
Maurcie Cheeks,Philadelphia,,James Donaldson,Dallas
,,,Steve Johnson,Portland
,,,,
EAST,TEAM,2016,WEST,TEAM
Kyle Lowry,Toronto,,Stephen Curry,Golden State
Dwyane Wade,Miami,,Russell Westbrook,Oklahoma
Lebron James,Cleveland,,Kobe Bryant,LA Lakers
Paul George,Indiana,,Kevin Durant,Oklahoma
Carmelo Anthony,New York,,Kawhi Leonard,San Antonio
John Wall,Washington,,Chris Paul,LA Clippers
Isiah Thomas,Boston,,James Harden,Houston
Jimmy Butler,Chicago,,Klay Thompson,Golden State
DeMar DeRozan,Toronto,,Draymond Green,Golden State
Paul Millsap,Atlanta,,Anthony Davis,New Orleans
Chris Bosh,Miami,,LaMarcus Aldridge,San Antonio
Andre Drummond,Detroit,,DeMarcus Cousins,Sacramento
Pau Gasol,Chicago,,,
Al Horford,Atlanta,,,
,,,,
EAST,TEAM,2015,WEST,TEAM
John Wall,Washington,,Stephen Curry,Golden State
Kyle Lowry,Toronto,,Kobe Bryant,LA Lakers
Lebron James,Cleveland,,Anthony Davis,New Orleans
Carmelo Anthony,New York,,Blake Griffin,LA Clippers
Pau Gasol,Chicago,,Marc Gasol,Memphis
Chris Bosh,Miami,,LaMarcus Aldridge,Portland
Dwyane Wade,Miami,,Tim Duncan,San Antonio
Paul Millsap,Atlanta,,James Harden,Houston
Kyrie Irving,Cleveland,,Kevin Durant,Oklahoma
Al Horford,Atlanta,,Chris Paul,LA Clippers
Jimmy Butler,Chicago,,Russell Westbrook,Oklahoma
Jeff Teague,Atlanta,,Klay Thompson,Golden State
Kyle Korver,Atlanta,,DeMarcus Cousins,Sacramento
,,,Damian Lillard,Portland
,,,Dirk Nowitzki,Dallas
,,,,
EAST,TEAM,1987,WEST,TEAM
Larry Bird,Boston,,Tom Chambers,Seattle
Dominique Wilkins,Atlanta,,James Worthy,Lakers
Moses Malone,Washington,,Hakeem Olajuwon,Houston
Julius Erving,Philadelphia,,Magic Johnson,Lakers
Michael Jordan,Chicago,,Alvin Robertson,San Antonio
Isiah Thomas,Detroit,,Mark Aguirre,Dallas
Kevin McHale,Boston,,Kareem Abdul-Jabbar,Lakers
Bill Laimbeer,Detroit,,Walter Davis,Phoenix
Jeff Malone,Washington,,Eric Floyd,Golden State
Charles Barkley,Philadelphia,,Joe Barry Carroll,Golden State
Maurice Cheeks,Philadelphia,,Rolando Blackman,Dallas
Robert Parish,Boston,,Alex English,Denver
,,,Ralph Sampson,Houston
,,,,
EAST,TEAM,1986,WEST,TEAM
Julius Erving,Philadelphia,,James Worthy,Lakers
Larry Bird,Boston,,Ralph Sampson,Houston
Moses Malone,Philadelphia,,Kareem Abdul-Jabbar,Lakers
Sidney Moncrief,Milwaukeee,,Alvin Robertson,San Antonio
Isiah Thomas,Detroit,,Magic Johnson,Lakers
Buck Williams,New Jersey,,Rolando Blackman,Dallas
Jeff Malone,Washington,,Artis Gilmore,San Antonio
Kevin McHale,Boston,,Alex English,Denver
Maurice Cheeks,Philadelphia,,Adrian Dantley,Utah
Robert Parish,Boston,,Clyde Drexler,Portland
Dominique Wilkins,Atlanta,,Hakeem Olajuwon,Houston
Patrick Ewing,New York,,Marques Johnson,Clippers
Michael Jordan,Chicago,,,
